Treatment,Replicate,Target,Concentration,Hours
E_Clay_CARP,1,CARP,0,0
E_Clay_CARP,1,CARP,0,5
E_Clay_CARP,1,CARP,0,17
E_Clay_CARP,1,CARP,0,29
C_FPOM_CARP,1,CARP,65625,0
C_FPOM_CARP,1,CARP,9359,5
C_FPOM_CARP,1,CARP,0,17
C_FPOM_CARP,1,CARP,0,29
A_NP_CARP,1,CARP,83333,0
A_NP_CARP,1,CARP,35714,5
A_NP_CARP,1,CARP,6806,17
A_NP_CARP,1,CARP,0,29
D_Algae_CARP,1,CARP,97917,0
D_Algae_CARP,1,CARP,5200,5
D_Algae_CARP,1,CARP,0,17
D_Algae_CARP,1,CARP,3512,29
B_PG_CARP,1,CARP,104167,0
B_PG_CARP,1,CARP,15325,5
B_PG_CARP,1,CARP,0,17
B_PG_CARP,1,CARP,1694,29
F_TIO2_CARP,1,CARP,0,0
F_TIO2_CARP,1,CARP,0,5
F_TIO2_CARP,1,CARP,1745,17
F_TIO2_CARP,1,CARP,0,29
E_Clay_CARP,2,CARP,0,0
E_Clay_CARP,2,CARP,0,5
E_Clay_CARP,2,CARP,0,17
E_Clay_CARP,2,CARP,0,29
D_Algae_CARP,2,CARP,67569,0
D_Algae_CARP,2,CARP,6441,5
D_Algae_CARP,2,CARP,3587,17
D_Algae_CARP,2,CARP,0,29
F_TIO2_CARP,2,CARP,0,0
F_TIO2_CARP,2,CARP,0,5
F_TIO2_CARP,2,CARP,0,17
F_TIO2_CARP,2,CARP,0,29
B_PG_CARP,2,CARP,17083,0
B_PG_CARP,2,CARP,5343,5
B_PG_CARP,2,CARP,1817,17
B_PG_CARP,2,CARP,0,29
C_FPOM_CARP,2,CARP,52222,0
C_FPOM_CARP,2,CARP,4338,5
C_FPOM_CARP,2,CARP,0,17
C_FPOM_CARP,2,CARP,0,29
A_NP_CARP,2,CARP,77778,0
A_NP_CARP,2,CARP,14175,5
A_NP_CARP,2,CARP,0,17
A_NP_CARP,2,CARP,0,29
B_PG_CARP,3,CARP,119444,0
