Treatment,Replicate,Filter,Target,Concentration,Hours
E_Clay_CARP,1,0.2,CARP,0,0
E_Clay_CARP,1,0.2,CARP,0,5
E_Clay_CARP,1,0.2,CARP,0,17
E_Clay_CARP,1,0.2,CARP,0,29
E_Clay_CARP,1,1,CARP,0,0
E_Clay_CARP,1,1,CARP,0,5
E_Clay_CARP,1,1,CARP,0,17
E_Clay_CARP,1,1,CARP,0,29
E_Clay_CARP,1,10,CARP,115625,0
E_Clay_CARP,1,10,CARP,4254,5
E_Clay_CARP,1,10,CARP,3911,17
E_Clay_CARP,1,10,CARP,0,29
C_FPOM_CARP,1,0.2,CARP,241667,0
C_FPOM_CARP,1,0.2,CARP,61575,5
C_FPOM_CARP,1,0.2,CARP,5400,17
C_FPOM_CARP,1,0.2,CARP,0,29
C_FPOM_CARP,1,1,CARP,65625,0
C_FPOM_CARP,1,1,CARP,9359,5
C_FPOM_CARP,1,1,CARP,0,17
C_FPOM_CARP,1,1,CARP,0,29
C_FPOM_CARP,1,10,CARP,15625,0
C_FPOM_CARP,1,10,CARP,0,5
C_FPOM_CARP,1,10,CARP,0,17
C_FPOM_CARP,1,10,CARP,0,29
A_NP_CARP,1,0.2,CARP,201389,0
A_NP_CARP,1,0.2,CARP,35577,5
A_NP_CARP,1,0.2,CARP,3287,17
A_NP_CARP,1,0.2,CARP,0,29
A_NP_CARP,1,1,CARP,83333,0
A_NP_CARP,1,1,CARP,35714,5
A_NP_CARP,1,1,CARP,6806,17
A_NP_CARP,1,1,CARP,0,29
A_NP_CARP,1,10,CARP,61458,0
A_NP_CARP,1,10,CARP,173094,5
A_NP_CARP,1,10,CARP,21233,17
A_NP_CARP,1,10,CARP,0,29
D_Algae_CARP,1,0.2,CARP,263194,0
D_Algae_CARP,1,0.2,CARP,19225,5
D_Algae_CARP,1,0.2,CARP,3750,17
D_Algae_CARP,1,0.2,CARP,0,29
D_Algae_CARP,1,1,CARP,97917,0
D_Algae_CARP,1,1,CARP,5200,5
D_Algae_CARP,1,1,CARP,0,17
D_Algae_CARP,1,1,CARP,3512,29
D_Algae_CARP,1,10,CARP,139583,0
D_Algae_CARP,1,10,CARP,13410,5
D_Algae_CARP,1,10,CARP,0,17
D_Algae_CARP,1,10,CARP,0,29
B_PG_CARP,1,0.2,CARP,327778,0
B_PG_CARP,1,0.2,CARP,34208,5
B_PG_CARP,1,0.2,CARP,4147,17
B_PG_CARP,1,0.2,CARP,4153,29
B_PG_CARP,1,1,CARP,104167,0
B_PG_CARP,1,1,CARP,15325,5
B_PG_CARP,1,1,CARP,0,17
B_PG_CARP,1,1,CARP,1694,29
B_PG_CARP,1,10,CARP,254167,0
B_PG_CARP,1,10,CARP,2545,5
B_PG_CARP,1,10,CARP,0,17
B_PG_CARP,1,10,CARP,0,29
F_TIO2_CARP,1,0.2,CARP,0,0
F_TIO2_CARP,1,0.2,CARP,0,5
F_TIO2_CARP,1,0.2,CARP,0,17
F_TIO2_CARP,1,0.2,CARP,0,29
F_TIO2_CARP,1,1,CARP,0,0
F_TIO2_CARP,1,1,CARP,0,5
F_TIO2_CARP,1,1,CARP,1745,17
F_TIO2_CARP,1,1,CARP,0,29
F_TIO2_CARP,1,10,CARP,3604,0
F_TIO2_CARP,1,10,CARP,19413,5
F_TIO2_CARP,1,10,CARP,42763,17
F_TIO2_CARP,1,10,CARP,0,29
E_Clay_CARP,2,0.2,CARP,0,0
E_Clay_CARP,2,0.2,CARP,0,5
E_Clay_CARP,2,0.2,CARP,0,17
E_Clay_CARP,2,0.2,CARP,0,29
E_Clay_CARP,2,1,CARP,0,0
E_Clay_CARP,2,1,CARP,0,5
E_Clay_CARP,2,1,CARP,0,17
E_Clay_CARP,2,1,CARP,0,29
E_Clay_CARP,2,10,CARP,111806,0
E_Clay_CARP,2,10,CARP,21008,5
E_Clay_CARP,2,10,CARP,1848,17
E_Clay_CARP,2,10,CARP,0,29
D_Algae_CARP,2,0.2,CARP,244444,0
D_Algae_CARP,2,0.2,CARP,42848,5
D_Algae_CARP,2,0.2,CARP,7104,17
D_Algae_CARP,2,0.2,CARP,0,29
D_Algae_CARP,2,1,CARP,67569,0
D_Algae_CARP,2,1,CARP,6441,5
D_Algae_CARP,2,1,CARP,3587,17
D_Algae_CARP,2,1,CARP,0,29
D_Algae_CARP,2,10,CARP,50000,0
D_Algae_CARP,2,10,CARP,0,5
D_Algae_CARP,2,10,CARP,0,17
D_Algae_CARP,2,10,CARP,0,29
F_TIO2_CARP,2,0.2,CARP,0,0
F_TIO2_CARP,2,0.2,CARP,0,5
F_TIO2_CARP,2,0.2,CARP,0,17
F_TIO2_CARP,2,0.2,CARP,0,29
F_TIO2_CARP,2,1,CARP,0,0
F_TIO2_CARP,2,1,CARP,0,5
F_TIO2_CARP,2,1,CARP,0,17
F_TIO2_CARP,2,1,CARP,0,29
F_TIO2_CARP,2,10,CARP,0,0
F_TIO2_CARP,2,10,CARP,4611,5
F_TIO2_CARP,2,10,CARP,0,17
F_TIO2_CARP,2,10,CARP,0,29
B_PG_CARP,2,0.2,CARP,149306,0
B_PG_CARP,2,0.2,CARP,47208,5
B_PG_CARP,2,0.2,CARP,1667,17
B_PG_CARP,2,0.2,CARP,9364,29
B_PG_CARP,2,1,CARP,17083,0
B_PG_CARP,2,1,CARP,5343,5
B_PG_CARP,2,1,CARP,1817,17
B_PG_CARP,2,1,CARP,0,29
B_PG_CARP,2,10,CARP,22222,0
B_PG_CARP,2,10,CARP,0,5
B_PG_CARP,2,10,CARP,6942,17
B_PG_CARP,2,10,CARP,0,29
C_FPOM_CARP,2,0.2,CARP,227778,0
C_FPOM_CARP,2,0.2,CARP,40708,5
C_FPOM_CARP,2,0.2,CARP,0,17
C_FPOM_CARP,2,0.2,CARP,0,29
C_FPOM_CARP,2,1,CARP,52222,0
C_FPOM_CARP,2,1,CARP,4338,5
C_FPOM_CARP,2,1,CARP,0,17
C_FPOM_CARP,2,1,CARP,0,29
C_FPOM_CARP,2,10,CARP,11736,0
C_FPOM_CARP,2,10,CARP,4447,5
C_FPOM_CARP,2,10,CARP,0,17
C_FPOM_CARP,2,10,CARP,0,29
A_NP_CARP,2,0.2,CARP,182639,0
A_NP_CARP,2,0.2,CARP,22343,5
A_NP_CARP,2,0.2,CARP,4651,17
A_NP_CARP,2,0.2,CARP,3576,29
A_NP_CARP,2,1,CARP,77778,0
A_NP_CARP,2,1,CARP,14175,5
A_NP_CARP,2,1,CARP,0,17
A_NP_CARP,2,1,CARP,0,29
A_NP_CARP,2,10,CARP,313194,0
A_NP_CARP,2,10,CARP,20520,5
A_NP_CARP,2,10,CARP,2550,17
A_NP_CARP,2,10,CARP,0,29
B_PG_CARP,3,0.2,CARP,309028,0
B_PG_CARP,3,0.2,CARP,45839,5
B_PG_CARP,3,0.2,CARP,9392,17
B_PG_CARP,3,0.2,CARP,2416,29
B_PG_CARP,3,1,CARP,119444,0
B_PG_CARP,3,1,CARP,4208,5
B_PG_CARP,3,1,CARP,0,17
B_PG_CARP,3,1,CARP,0,29
B_PG_CARP,3,10,CARP,45833,0
B_PG_CARP,3,10,CARP,0,5
B_PG_CARP,3,10,CARP,0,17
B_PG_CARP,3,10,CARP,0,29
A_NP_CARP,3,0.2,CARP,264583,0
A_NP_CARP,3,0.2,CARP,28773,5
A_NP_CARP,3,0.2,CARP,12070,17
A_NP_CARP,3,0.2,CARP,5343,29
A_NP_CARP,3,1,CARP,63194,0
A_NP_CARP,3,1,CARP,14560,5
A_NP_CARP,3,1,CARP,3704,17
A_NP_CARP,3,1,CARP,1804,29
A_NP_CARP,3,10,CARP,80556,0
A_NP_CARP,3,10,CARP,189973,5
A_NP_CARP,3,10,CARP,5863,17
A_NP_CARP,3,10,CARP,5858,29
F_TIO2_CARP,3,0.2,CARP,0,0
F_TIO2_CARP,3,0.2,CARP,0,5
F_TIO2_CARP,3,0.2,CARP,0,17
F_TIO2_CARP,3,0.2,CARP,0,29
F_TIO2_CARP,3,1,CARP,0,0
F_TIO2_CARP,3,1,CARP,0,5
F_TIO2_CARP,3,1,CARP,0,17
