Treatment,Replicate,Filter,Target,Concentration
Bucket,1,0.2,CARP,76.5
Bucket,1,1,CARP,95.5
Bucket,1,10,CARP,254
Bucket,2,0.2,CARP,150
Bucket,2,1,CARP,80
Bucket,2,10,CARP,364.5
Bucket,3,0.2,CARP,124
Bucket,3,1,CARP,73
Bucket,3,10,CARP,391
Bucket,4,0.2,CARP,150
Bucket,4,1,CARP,90
Bucket,4,10,CARP,400.5
Bucket,1,0.2,STHD,2735
Bucket,1,1,STHD,1235
Bucket,1,10,STHD,2170
Bucket,2,0.2,STHD,2385
Bucket,2,1,STHD,7955
Bucket,2,10,STHD,1330
Bucket,3,0.2,STHD,4235
Bucket,3,1,STHD,5795
Bucket,3,10,STHD,1430
Bucket,4,0.2,STHD,2975
Bucket,4,1,STHD,8205
Bucket,4,10,STHD,3475
